country_name,year,gdp_trillion_usd
Switzerland,2022,0.828508926958393
Switzerland,2021,0.815309330986719
Switzerland,2020,0.741999406005627
Switzerland,2019,0.721369112726724
Switzerland,2018,0.725568717468001
Switzerland,2017,0.695200834102045
Switzerland,2016,0.687895460902713
Switzerland,2015,0.6941181863796281
Switzerland,2014,0.7265378094295241
Switzerland,2013,0.706234937370968
Switzerland,2012,0.68642022155799
Switzerland,2011,0.715888126682396
Switzerland,2010,0.5988510279477209
Switzerland,2009,0.554212916092271
Switzerland,2008,0.567267767519158
Switzerland,2007,0.490740715594802
Switzerland,2006,0.441634672196523
Switzerland,2005,0.41828486588499797
Switzerland,2004,0.403912891033374
Switzerland,2003,0.36207508650776
Switzerland,2002,0.309301422430386
Switzerland,2001,0.286582672434226
Switzerland,2000,0.279216033870204
China,2022,18.3167650216902
China,2021,18.201698719564
China,2020,14.9964141667151
China,2019,14.560167101283401
China,2018,14.147765772963801
China,2017,12.5375590622829
China,2016,11.456024084962
China,2015,11.2808147874689
China,2014,10.674533168257401
China,2013,9.74312424726724
China,2012,8.67366471318924
China,2011,7.67175720785129
China,2010,6.19256487445329
China,2009,5.18957709499758
China,2008,4.66734641452195
China,2007,3.6040558225716297
China,2006,2.79149847280433
China,2005,2.3175512980520496
China,2004,1.98419655130044
China,2003,1.68390330984385
China,2002,1.48982168205054
China,2001,1.35503659025152
China,2000,1.22375491997105
Germany,2022,4.16359635787939
Germany,2021,4.34829744038753
Germany,2020,3.9401425413541
Germany,2019,3.95720805521568
Germany,2018,4.05200844722353
Germany,2017,3.76309226375295
Germany,2016,3.5377841079805497
Germany,2015,3.42356845095703
Germany,2014,3.96580068630979
Germany,2013,3.80808629148236
Germany,2012,3.59789650094531
Germany,2011,3.82482856352141
Germany,2010,3.46815434300001
Germany,2009,3.4798008208632796
Germany,2008,3.8087860223125
Germany,2007,3.48405668085491
Germany,2006,3.04630875367058
Germany,2005,2.89339318736187
Germany,2004,2.8523177680617797
Germany,2003,2.5347155183490098
Germany,2002,2.10235079830589
Germany,2001,1.96638149664173
Germany,2000,1.9669807011451002
United Kingdom,2022,3.11404247114439
United Kingdom,2021,3.14332305070726
United Kingdom,2020,2.69677838660765
United Kingdom,2019,2.85140716490781
United Kingdom,2018,2.87134034758179
United Kingdom,2017,2.6801480523352996
United Kingdom,2016,2.6891065668996097
United Kingdom,2015,2.9279111409167298
United Kingdom,2014,3.06470824792143
United Kingdom,2013,2.78485350253429
United Kingdom,2012,2.7070897266146403
United Kingdom,2011,2.6638058348280698
United Kingdom,2010,2.48548259618471
United Kingdom,2009,2.4128400062315
United Kingdom,2008,2.92941176470588
United Kingdom,2007,3.09051020408163
United Kingdom,2006,2.70844158233671
United Kingdom,2005,2.54318
United Kingdom,2004,2.4215250823874
United Kingdom,2003,2.05442285714286
United Kingdom,2002,1.7857299160671498
United Kingdom,2001,1.64982726356701
United Kingdom,2000,1.66553487668331
Japan,2022,4.26246331779653
Japan,2021,5.03914816886122
Japan,2020,5.05406800537628
Japan,2019,5.11799385301651
Japan,2018,5.04088093932486
Japan,2017,4.93083736915142
Japan,2016,5.00367762754424
Japan,2015,4.44493065196418
Japan,2014,4.89699440535329
Japan,2013,5.21232818116618
Japan,2012,6.272362996105031
Japan,2011,6.23314717234135
Japan,2010,5.759071769013111
Japan,2009,5.2894931179938895
Japan,2008,5.106679115127299
Japan,2007,4.57975092035481
Japan,2006,4.60166312264992
Japan,2005,4.8314670353897995
Japan,2004,4.89311600565656
Japan,2003,4.51956164525353
Japan,2002,4.182846045873609
Japan,2001,4.37471169409087
Japan,2000,4.96835907595659
